Ticker,Price,Day%,Week%,MCap($B),Sector,Industry,Above EMA%,RSI,MACD,MACD Hist,ROC20%,Vol Ratio,Momentum,Rating
NEO,9.73,1.69,9.34,1.3,Healthcare,Diagnostics & Research,9.44,66.7,Bull,0.11,8.61,0.03,48.6,
KHC,24.64,1.05,4.7,29.2,Consumer Defensive,Packaged Foods,6.54,69.7,Bull,0.13,9.88,0.04,48.5,2.86
PSMT,168.55,-0.79,1.55,5.2,Consumer Defensive,Discount Stores,7.11,64.0,Bull,0.87,9.53,0.04,48.4,
GM,83.57,-0.66,9.75,75.3,Consumer Cyclical,Auto Manufacturers,7.79,64.6,Bull,0.87,9.06,0.05,48.4,4.11
JBLU,5.3,-1.94,11.95,2.0,Industrials,Airlines,6.97,57.7,Bull,0.07,9.4,0.06,48.3,2.65
SENEA,146.4,-0.96,4.44,1.0,Consumer Defensive,Packaged Foods,3.65,56.4,Bull,1.04,8.68,0.31,48.1,5.0
LTM,52.01,-2.11,3.26,15.2,Industrials,Airlines,2.79,55.5,Bull,0.56,11.16,0.06,48.0,4.56
ARMK,52.76,-1.13,2.38,13.9,Industrials,Specialty Business Services,13.67,69.9,Bull,0.18,17.59,0.01,47.9,4.5
RH,144.96,0.96,8.87,2.7,Consumer Cyclical,Specialty Retail,5.35,62.5,Bull,2.18,9.85,0.04,47.8,3.35
WDC,531.0,0.08,15.53,183.0,Technology,Computer Hardware,29.1,71.7,Bull,0.65,28.65,0.07,47.8,4.52
CVCO,543.41,-0.52,9.75,4.2,Consumer Cyclical,Residential Construction,6.79,63.4,Bull,8.97,9.06,0.02,47.6,4.5
CCEC,22.5,0.4,4.41,1.4,Industrials,Marine Shipping,8.46,63.2,Bull,0.17,6.47,0.2,47.3,4.17
PVH,95.62,-0.6,12.95,4.4,Consumer Cyclical,Apparel Manufacturing,13.92,65.4,Bull,1.13,5.08,0.02,47.2,3.92
MGA,65.83,-0.8,7.99,17.9,Consumer Cyclical,Auto Parts,9.21,64.2,Bull,0.4,7.39,0.02,47.2,3.6
DFH,15.5,0.26,11.27,1.4,Consumer Cyclical,Residential Construction,4.62,59.0,Bull,0.24,9.54,0.03,47.1,
KMX,42.03,-0.54,12.59,6.0,Consumer Cyclical,Auto & Truck Dealerships,4.65,60.1,Bull,0.64,9.6,0.02,47.1,3.0
RYAAY,59.79,-2.14,5.1,31.1,Industrials,Airlines,1.55,55.6,Bull,0.75,10.91,0.05,47.1,4.8
VSTS,11.99,0.21,2.52,1.6,Industrials,Rental & Leasing Services,21.14,67.4,Bull,0.02,25.34,0.04,47.0,3.0
ARCB,132.3,-0.8,5.82,2.9,Industrials,Trucking,15.02,65.8,Bull,0.81,4.23,0.02,46.9,3.92
FIZZ,36.74,-0.14,4.17,3.4,Consumer Defensive,Beverages - Non-Alcoholic,5.52,66.6,Bull,0.19,8.86,0.03,46.9,
BLX,56.9,0.55,2.99,2.1,Financial Services,Banks - Regional,7.39,62.5,Bull,0.3,7.56,0.02,46.4,
BBWI,19.86,2.12,17.66,4.0,Consumer Cyclical,Specialty Retail,4.95,59.3,Bull,0.21,8.36,0.07,46.4,3.47
MGM,41.56,-0.94,13.82,10.6,Consumer Cyclical,Resorts & Casinos,9.82,67.1,Bull,0.44,5.82,0.05,46.2,3.57
IHG,158.57,-0.38,2.24,23.6,Consumer Cyclical,Lodging,9.18,68.7,Bull,0.65,11.39,0.18,46.0,3.22
DDS,606.66,2.85,12.45,9.5,Consumer Cyclical,Department Stores,5.26,65.2,Bull,7.94,7.93,0.05,46.0,2.0
TFIN,70.8,0.9,8.08,1.7,Financial Services,Banks - Regional,9.67,66.4,Bull,0.52,5.96,0.03,46.0,3.2
HLT,335.21,-0.45,3.55,76.3,Consumer Cyclical,Lodging,5.38,62.8,Bull,1.85,6.63,0.18,45.9,3.84
